"","amount","duration","payments","status","frequency","region","inhab","mun499","mun1999","mun9999","mun10000","cities","ratio_urban","avg_salary","unempl95","unempl96","ratio_entr","crimes95","crimes96","gender","acc_m","age","avg_balance","avg_amtC","avg_amtW","remittance","cash_c","cash_w"
"1",9.6396,"12",80.33,"1","Weekly","west Bohemia",9.4812,15,13,8,2,10,81.8,96.5,3.38,3.67,100,29.85,28.04,"F",3,45,44.2645367245658,133.5972,82.3893,4,90,245
"2",16.596,"36",46.1,"0","Monthly","east Bohemia",11.2709,48,20,7,3,10,73.5,83.69,1.79,2.31,117,28.54,26.18,"M",4,24,43.4997685624013,128.8683,52.3392,240,117,205
"3",12.708,"60",21.18,"0","Monthly","east Bohemia",7.7917,85,19,6,1,5,53.5,83.9,2.28,2.89,132,20.8,21.22,"M",5,57,29.4522689256198,45.1678,25.0977,258,11,126
"4",10.5804,"36",29.39,"0","Monthly","central Bohemia",10.787,84,29,6,1,6,58,87.54,3.83,4.31,137,38.04,38.68,"F",6,53,35.6693582251082,91.9741,44.0784,103,11,205
"5",27.474,"60",45.79,"0","Weekly","Prague",120.4953,0,0,0,1,1,100,125.41,0.29,0.43,167,856.77,991.07,"M",6,15,56.9125516637478,224.3547,73.6669,191,4,225
"6",8.784,"24",36.6,"0","Monthly","central Bohemia",5.3921,61,22,1,1,2,41.3,85.98,2.77,3.26,123,15.97,18.75,"F",4,13,30.6757515555556,79.069,34.1068,276,5,190
"7",5.2788,"12",43.99,"0","Monthly","south Bohemia",5.8796,22,16,7,1,5,51.9,90.45,3.13,3.6,124,18.45,18.79,"M",8,20,22.0101783057851,39.0568,19.8976,146,97,170
"8",17.4744,"24",72.81,"1","Monthly","west Bohemia",12.2603,25,21,6,2,8,80,89.91,1.39,2.01,128,51.98,52.73,"F",5,45,45.0022244541485,142.4064,78.4799,18,98,273
"9",15.4416,"48",32.17,"0","Weekly","south Bohemia",7.0699,60,13,2,1,4,65.3,89.68,2.83,3.35,131,17.4,19.1,"F",5,24,59.2497588607595,168.5692,107.826,48,118,239
"10",11.7024,"24",48.76,"0","Monthly","south Bohemia",17.7686,69,27,10,1,9,74.8,100.45,1.42,1.71,135,66.04,62.95,"M",4,58,63.2742973170732,154.2611,76.9641,24,8,232
