"","amount","duration","payments","status","frequency","region","inhab","mun499","mun1999","mun9999","mun10000","cities","ratio_urban","avg_salary","unempl95","unempl96","ratio_entr","crimes95","crimes96","gender","acc_m","age","avg_balance","avg_amtC","avg_amtW","remittance","cash_c","cash_w"
"1",96396,"12",8033,"1","Weekly","west Bohemia",94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,"F",3,45,44264.5367245658,13359.72,8238.93,4,90,245
"2",165960,"36",4610,"0","Monthly","east Bohemia",112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,"M",4,24,43499.7685624013,12886.83,5233.92,240,117,205
"3",127080,"60",2118,"0","Monthly","east Bohemia",77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,"M",5,57,29452.2689256198,4516.78,2509.77,258,11,126
"4",105804,"36",2939,"0","Monthly","central Bohemia",107870,84,29,6,1,6,58,8754,3.83,4.31,137,3804,3868,"F",6,53,35669.3582251082,9197.41,4407.84,103,11,205
"5",274740,"60",4579,"0","Weekly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"M",6,15,56912.5516637478,22435.47,7366.69,191,4,225
"6",87840,"24",3660,"0","Monthly","central Bohemia",53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,"F",4,13,30675.7515555556,7906.9,3410.68,276,5,190
"7",52788,"12",4399,"0","Monthly","south Bohemia",58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,"M",8,20,22010.1783057851,3905.68,1989.76,146,97,170
"8",174744,"24",7281,"1","Monthly","west Bohemia",122603,25,21,6,2,8,80,8991,1.39,2.01,128,5198,5273,"F",5,45,45002.2244541485,14240.64,7847.99,18,98,273
"9",154416,"48",3217,"0","Weekly","south Bohemia",70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,"F",5,24,59249.7588607595,16856.92,10782.6,48,118,239
"10",117024,"24",4876,"0","Monthly","south Bohemia",177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,"M",4,58,63274.2973170732,15426.11,7696.41,24,8,232
"11",21924,"36",609,"0","Monthly","south Moravia",157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,"M",9,33,46258.3014373717,7524.29,3491.98,104,88,224
"12",79608,"24",3317,"0","Monthly","east Bohemia",105606,77,26,7,2,7,53,8254,2.79,3.76,97,2166,2325,"M",10,23,65773.3976190476,23599.98,10929.89,24,5,289
"13",464520,"60",7742,"1","Weekly","central Bohemia",77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120,"F",8,53,37420.9306122449,13024.72,8248.71,48,105,219
"14",95400,"36",2650,"0","Weekly","east Bohemia",75685,31,28,5,1,9,60.8,8208,1.89,2.26,155,1660,2123,"M",8,22,68519.0653444676,16439.03,11041.78,36,124,249
"15",93888,"36",2608,"0","AfterTrans","south Moravia",86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,"F",5,43,33983.1918181818,7770.56,5135.99,97,48,163
"16",47016,"12",3918,"0","AfterTrans","south Moravia",197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265,"F",7,35,54667.0589361702,16759.21,11203.63,64,122,215
